index,input_a,input_v,input_w,runtime_control_loop,runtime_optimization,status,runtime_guidance,objective_0,objective_1,objective_2,objective_3,objective_4,lmpcc_objective,original_planner_id,best_planner_idx,gmpcc_objective,prm_runtime,processing_runtime,homotopy_comparison_runtime,vehicle_pose_0,vehicle_pose_1,vehicle_orientation,vehicle_plan_0_0,vehicle_plan_0_1,vehicle_plan_1_0,vehicle_plan_1_1,vehicle_plan_2_0,vehicle_plan_2_1,vehicle_plan_3_0,vehicle_plan_3_1,vehicle_plan_4_0,vehicle_plan_4_1,vehicle_plan_5_0,vehicle_plan_5_1,vehicle_plan_6_0,vehicle_plan_6_1,vehicle_plan_7_0,vehicle_plan_7_1,vehicle_plan_8_0,vehicle_plan_8_1,vehicle_plan_9_0,vehicle_plan_9_1,vehicle_plan_10_0,vehicle_plan_10_1,vehicle_plan_11_0,vehicle_plan_11_1,vehicle_plan_12_0,vehicle_plan_12_1,vehicle_plan_13_0,vehicle_plan_13_1,vehicle_plan_14_0,vehicle_plan_14_1,vehicle_plan_15_0,vehicle_plan_15_1,vehicle_plan_16_0,vehicle_plan_16_1,vehicle_plan_17_0,vehicle_plan_17_1,vehicle_plan_18_0,vehicle_plan_18_1,vehicle_plan_19_0,vehicle_plan_19_1,obstacle_map_0,obstacle_0_pose_0,obstacle_0_pose_1,obstacle_0_orientation,disc_0_pose_0,disc_0_pose_1,disc_0_radius,disc_0_obstacle,obstacle_map_1,obstacle_1_pose_0,obstacle_1_pose_1,obstacle_1_orientation,obstacle_map_2,obstacle_2_pose_0,obstacle_2_pose_1,obstacle_2_orientation,obstacle_map_3,obstacle_3_pose_0,obstacle_3_pose_1,obstacle_3_orientation,obstacle_map_4,obstacle_4_pose_0,obstacle_4_pose_1,obstacle_4_orientation,obstacle_map_5,obstacle_5_pose_0,obstacle_5_pose_1,obstacle_5_orientation,obstacle_map_6,obstacle_6_pose_0,obstacle_6_pose_1,obstacle_6_orientation,obstacle_map_7,obstacle_7_pose_0,obstacle_7_pose_1,obstacle_7_orientation,obstacle_map_8,obstacle_8_pose_0,obstacle_8_pose_1,obstacle_8_orientation,obstacle_map_9,obstacle_9_pose_0,obstacle_9_pose_1,obstacle_9_orientation,obstacle_map_10,obstacle_10_pose_0,obstacle_10_pose_1,obstacle_10_orientation,obstacle_map_11,obstacle_11_pose_0,obstacle_11_pose_1,obstacle_11_orientation,max_intrusion,metric_collisions,iteration,reset,metric_duration,metric_completed
0,0.0,0.276890335675,0.157323891138,0.009823581,0.004828599,2.0,0.00340934,1.301884475828,-1.0,-1.0,-1.0,1.503239771919,1.503239771919,4.0,0.0,1.301884475828,0.002913298,0.000495361,0.002396489,0.00024925762,0.000349158938,0.785103638308,0.00024925762,0.000349158938,0.103973111989,0.12630441245,0.32083321121,0.38557884025,0.524249600079,0.618224854919,0.704075040719,0.804635148922,0.903132528711,0.989600238427,1.1314327441,1.187950936267,1.370989491321,1.388853843025,1.610244778474,1.586011412707,1.849125037978,1.781523421533,2.088354757314,1.977585440531,2.328050687305,2.174511858259,2.568126123225,2.372186172396,2.807965029352,2.569996337856,3.046821982073,2.767205152312,3.284614674083,2.963651165572,3.521684442994,3.159541417052,3.758615089285,3.355312856113,3.996259078247,3.551658073644,4.235051804275,3.748932814225,0.0,5.000175490064,5.929960885541,1.258591056776,5.000175490064,5.929960885541,0.4,0.0,1.0,7.761463406162,2.279829553426,0.65882485088,2.0,5.741849385561,7.845125039407,0.999918983179,3.0,4.404344605191,10.679187994196,1.026588141836,4.0,5.924221716129,10.495532605174,0.952980499944,5.0,8.412172613848,9.319138142491,1.037534923332,6.0,4.431597904333,12.241762698176,0.743801587552,7.0,2.476214802798,13.517107963048,0.334291482634,8.0,4.924170125847,14.327364036273,0.723828049455,9.0,8.574065036593,13.523071804806,-0.645710598559,10.0,14.43574025116,7.07941055478,1.423164572493,11.0,10.341098778759,12.424069053969,0.952061646608,0.0,0.0,0.0,525.0,26.25,1.0
1,0.0,0.374654926427,0.003022802233,0.016279009,0.003497386,2.0,0.010592827,0.770807026519,-1.0,-1.0,-1.0,1.027742699945,1.027742699945,4.0,0.0,1.027742702026,0.003530919,0.007046329,0.003232456,0.00057863552,0.000684767998,0.785250712723,0.00024925762,0.000349158938,0.129017046902,0.112143354096,0.386750368991,0.334718985395,0.621339060639,0.537385803365,0.811635241979,0.701936851049,0.999190401944,0.864046181083,1.198534819966,1.036226267282,1.40153992619,1.211567302227,1.60330485066,1.385975791899,1.805000808451,1.5606404365,2.010030967004,1.738927537041,2.226535085539,1.928977968029,2.461339887192,2.137623570026,2.709170266843,2.359579994077,2.960957625446,2.585759874693,3.21295710541,2.812350261415,3.46475660471,3.038840378373,3.716434015569,3.265212796265,3.968568259183,3.491955716078,4.221468742713,3.719334746805,0.0,5.003827413234,5.942585555933,1.289213519374,7.761463406162,2.279829553426,0.4,1.0,1.0,7.772382679889,2.287771158736,0.628815173933,2.0,5.74913143026,7.857212170701,1.028568048997,3.0,4.409503890449,10.688464823332,1.063245607268,4.0,5.931201593406,10.506069635308,0.985743592806,5.0,8.418790044261,9.331141979885,1.066973800784,6.0,4.443826101406,12.253558547494,0.767403647304,7.0,2.488428014469,13.520026900914,0.234597701652,8.0,4.933454739469,14.336129697286,0.756655681425,9.0,8.583062363115,13.51549236662,-0.700071163961,10.0,14.436687583465,7.091388461257,1.491870645689,11.0,10.348347428581,12.434942984355,0.982834286577,0.0,0.0,1.0,1040.0,25.75,1.0
2,0.0,0.573461326811,-0.009006984703,0.007155584,0.002844679,2.0,0.003148139,0.525378514927,-1.0,-1.0,-1.0,0.700504686503,0.700504686503,4.0,0.0,0.700504686569,0.002638051,0.000501302,0.002465915,0.007287146636,0.007382060854,0.78510515172,0.00057863552,0.000684767998,0.153152518938,0.135612867674,0.406910608679,0.353177590407,0.637947668025,0.551864276545,0.831614325582,0.719538472092,1.025544541067,0.887383982462,1.231511480339,1.065177415102,1.439062013742,1.244299298611,1.643307006448,1.420888687181,1.848860779239,1.599182655291,2.060697134386,1.783877697473,2.282520137727,1.979038976817,2.51670630123,2.187422741864,2.759437393754,2.405034895076,3.005005423536,2.625812891695,3.250854157582,2.847027241879,3.496404005648,3.068036996614,3.741701450476,3.288808765227,3.987471324634,3.509964757116,4.234115298951,3.731854983765,0.0,5.008130170006,5.958534926654,1.307293322786,5.741849385561,7.845125039407,0.4,2.0,1.0,7.786275652304,2.297502644774,0.611035326544,2.0,5.758019577323,7.872547212041,1.045513990773,3.0,4.415763530173,10.700299960918,1.084294568365,4.0,5.939719496667,10.519486332238,1.005128562068,5.0,8.426840722298,9.346366364766,1.084373857068,6.0,4.458948372128,12.268564648031,0.781542342345,7.0,2.504005695195,13.522791849988,0.175664790266,8.0,4.944894137977,14.347360899603,0.776214889398,9.0,8.593761661256,13.505292616811,-0.761499791256,10.0,14.437273149236,7.106538740839,1.532165062995,11.0,10.357209792122,12.448775542791,1.000994727619,0.0,0.0,2.0,1526.0,24.3,1.0
3,0.0,0.688565491642,-0.008119724172,0.017618718,0.011311188,2.0,0.004532392,0.404366744923,-1.0,-1.0,-1.0,0.539155659872,0.539155659872,4.0,0.0,0.539155659898,0.003843898,0.000672645,0.002715899,0.018345718694,0.018433329983,0.78507379052,0.007287146636,0.007382060854,0.173805501089,0.155913234952,0.425834979838,0.370939569745,0.658831890691,0.570651233927,0.858358576488,0.743410346696,1.056562840068,0.914988114395,1.264598931382,1.094413924352,1.475538359132,1.276297819153,1.685810718401,1.458085457478,1.898078709989,1.642442769249,2.115076325468,1.832140951564,2.338181112562,2.028943895846,2.56826289231,2.234024386368,2.804693287195,2.446254303525,3.046187292417,2.663621862849,3.289740760683,2.883009744768,3.531308900106,3.100662572488,3.770102548183,3.315800592948,4.009003593546,3.530993008743,4.249862953437,3.747897790964,0.0,5.013084484585,5.977808854018,1.319195812968,4.404344605191,10.679187994196,0.4,3.0,1.0,7.803142010118,2.309023755194,0.599281335416,2.0,5.768514501762,7.891129824969,1.056683244341,3.0,4.423132932283,10.714698836311,1.09775016716,4.0,5.949772156668,10.535778400093,1.017950326553,5.0,8.436325334902,9.364810991203,1.095836820677,6.0,4.476960385506,12.286778647367,0.790973821597,7.0,2.522946875349,13.525403221065,0.137003717822,8.0,4.95847441823,14.361046429793,0.789258287592,9.0,8.606161498791,13.492448308608,-0.803003225248,10.0,14.437497566514,7.1248614609,1.55854890633,11.0,10.367686603196,12.465566328901,1.012943847021,0.0,0.0,3.0,,,
4,0.0,0.837082441898,-0.004066552501,0.016805398,0.004544976,2.0,0.010814083,0.276266682404,-1.0,-1.0,-1.0,0.368355875317,0.368355875317,4.0,0.0,0.368355576538,0.010157529,0.000640394,0.002884785,0.041342424228,0.041411701576,0.78506426831,0.018345718694,0.018433329983,0.208948779293,0.190527144716,0.456822494806,0.400437575364,0.68808880332,0.597672307963,0.891469669538,0.77368305691,1.094481336574,0.949348608514,1.306119196847,1.131550473292,1.519410388542,1.315106807441,1.731367792365,1.498180295817,1.94610052326,1.684820213198,2.166917030639,1.878329481031,2.392912812111,2.078273285857,2.622612682331,2.283559915499,2.855661839421,2.493264977272,3.09197991908,2.706460868475,3.330171508201,2.921485435012,3.568009973581,3.136229431988,3.804664699738,3.349881958557,4.040934742909,3.563141037119,4.277403541083,3.776526869908,0.0,5.018691264657,6.000407157952,1.327600824832,5.924221716129,10.495532605174,0.4,4.0,1.0,7.822981360388,2.322334236642,0.590936733682,2.0,5.780617049176,7.912959585649,1.064576786151,3.0,4.4316204579,10.731666052132,1.106964016013,4.0,5.961356696818,10.554941810541,1.027064690518,5.0,8.447244741774,9.386475476092,1.103935197574,6.0,4.497858929808,12.308198445325,0.797714980852,7.0,2.545250406754,13.527861626891,0.109781790483,8.0,4.974194974097,14.377184313298,0.798496851775,9.0,8.620261817899,13.476936194635,-0.833037837552,10.0,14.43736166048,7.14635671166,1.577118850025,11.0,10.379778780217,12.485314841259,1.02137576465,0.0,0.0,4.0,,,
5,0.0,0.958580429153,-0.000111074875,0.008948676,0.004065444,2.0,0.003635395,0.198479799644,-1.0,-1.0,-1.0,0.264586504728,0.264586504728,4.0,0.0,0.264639732859,0.003148459,0.000465204,0.002839842,0.06661971555,0.066672544471,0.785095372815,0.041342424228,0.041411701576,0.243152143769,0.224439538914,0.486931880293,0.4294691587,0.718712556214,0.626137009012,0.927444900256,0.806569453308,1.134748749887,0.985782208572,1.348494459833,1.1694314096,1.564468034008,1.354946705935,1.780409922146,1.541311988151,1.997802879446,1.730414198019,2.218338290254,1.924185322676,2.443349415907,2.123942522192,2.6736062872,2.330341591132,2.907032248893,2.540894360514,3.140711886679,2.75218887387,3.373607011299,2.962914901285,3.605860665001,3.173084247247,3.837920680685,3.383036537475,4.070561187833,3.593461842315,4.304188621637,3.804730245615,0.0,5.024951602118,6.026329621695,1.333831247066,8.412172613848,9.319138142491,0.4,5.0,1.0,7.845793230111,2.337433845299,0.584708510477,2.0,5.794328236436,7.938035984392,1.070431287236,3.0,4.441233631115,10.751205512622,1.11357911985,4.0,5.974470623333,10.576972765859,1.033876781671,5.0,8.459599975993,9.411359358711,1.109940175568,6.0,4.521641715482,12.332822100831,0.802767448321,7.0,2.570914976824,13.53016788283,0.089620753484,8.0,4.992055337516,14.395772455634,0.805362828749,9.0,8.636063856077,13.458734231688,-0.855859041822,10.0,14.4368664643,7.171024606165,1.590868152431,11.0,10.393487426903,12.508020476778,1.027620186097,0.0,0.0,5.0,,,
6,0.0,1.019754972857,0.006568066709,0.01312585,0.008989122,2.0,0.002974984,0.178626693303,-1.0,-1.0,-1.0,0.23815613772,0.23815613772,4.0,0.0,0.238168924405,0.002525499,0.000439246,0.002281368,0.094159612707,0.094194098206,0.785076961783,0.06661971555,0.066672544471,0.276457255179,0.257239929876,0.520123028943,0.461169573472,0.753125365739,0.658154760945,0.965532087681,0.841454124741,1.176847371992,1.023816446946,1.393618013281,1.209659156174,1.611400882121,1.396338522073,1.828428756655,1.583423613571,2.047590017701,1.77423622768,2.271068389501,1.971220057795,2.497776530942,2.173262164079,2.726134701398,2.378631733308,2.955185138315,2.5858132935,3.184269434876,2.793474999074,3.413697876627,3.00154905564,3.644367293866,3.210749550946,3.876015710762,3.420785728016,4.107020572585,3.630181997139,4.336472901333,3.838120983024,0.0,5.031866773929,6.055575991443,1.338614980981,4.431597904333,12.241762698176,0.4,6.0,1.0,7.871577065742,2.354322354282,0.579884755331,2.0,5.809649252498,7.966358425082,1.074928058441,3.0,4.451979295126,10.773320567761,1.118493721389,4.0,5.989111816989,10.601867666973,1.03915778767,5.0,8.473392244752,9.439462100199,1.114551734196,6.0,4.548307230574,12.360647717697,0.806684683002,7.0,2.599939124467,13.532323007688,0.074116807431,8.0,5.012055235154,14.416808679586,0.81064679916,9.0,8.653419215837,13.43779396785,-0.878737476298,10.0,14.436013220124,7.198865280234,1.601434133326,11.0,10.40896453261,12.533710241391,1.028568534568,0.0,0.0,6.0,,,
7,-0.157544002978,1.049576378214,0.009545572093,0.010614809,0.006383352,2.0,0.003023595,0.196101144538,-1.0,-1.0,-1.0,0.261455036225,0.261455036225,4.0,0.0,0.261468192718,0.002611009,0.000392378,0.002370952,0.130586233333,0.130593218639,0.785051063905,0.094159612707,0.094194098206,0.317107527724,0.297149032249,0.562698026517,0.501733822307,0.796454436592,0.698632674386,1.009626632924,0.882116269193,1.221637833196,1.064599681313,1.439574242928,1.250897373922,1.659959376395,1.439317131901,1.880679678968,1.629302590378,2.102342929842,1.822448468127,2.3256332841,2.019991480533,2.550751929479,2.221587975877,2.777648336023,2.426472287494,3.005343747149,2.633090309293,3.232663822858,2.83975619247,3.45991448521,3.046441387555,3.688314375084,3.254149817724,3.917766676234,3.462743351632,4.146623160339,3.670732528011,4.373946563796,3.877281129178,0.0,5.039438243099,6.088145975941,1.342385494708,2.476214802798,13.517107963048,0.4,7.0,1.0,7.900332232636,2.372999561792,0.576041418119,2.0,5.826581459331,7.997926224516,1.078473213471,3.0,4.463863725146,10.798014160902,1.122239928942,4.0,6.005278525899,10.6296230854,1.043365987349,5.0,8.488622930197,9.470783082937,1.118186956845,6.0,4.577854638792,12.391673322669,0.809796874023,7.0,2.632321257445,13.534328224677,0.061844593469,8.0,5.034194621378,14.440290710555,0.814819812108,9.0,8.672364669273,13.414091848774,-0.896473358272,10.0,14.43480338027,7.229878892399,1.609786519414,11.0,10.426179525626,12.562385438345,1.030123652639,0.0,0.0,7.0,,,
8,0.0,1.133619169305,0.01781384264,0.006464024,0.002873693,2.0,0.002370728,0.197996534568,-1.0,-1.0,-1.0,0.263938523056,0.263938523056,4.0,0.0,0.263995379424,0.00192515,0.000432063,0.001704024,0.165654052225,0.165636211372,0.78504865311,0.130586233333,0.130593218639,0.359534415211,0.338972264826,0.603459648231,0.54073915408,0.836318476863,0.735794438314,1.051329133082,0.920424058894,1.266575133365,1.105299034772,1.488221760486,1.29421615442,1.71174750839,1.484815017224,1.934283250138,1.67612099975,2.156136140472,1.86966949492,2.378112586014,2.066852738818,2.601641148206,2.268045510161,2.827828835678,2.47313188837,3.055303801235,2.680187920488,3.281953736962,2.886797384016,3.507304307578,3.09227484785,3.731913418792,3.29702690718,3.95643502675,3.501607224602,4.181613210821,3.70671733791,4.40781894458,3.912720744797,0.0,5.047667659811,6.124039246003,1.345416960486,4.924170125847,14.327364036273,0.4,8.0,1.0,7.932058014412,2.393465299969,0.572910319174,2.0,5.845126392977,8.032738611643,1.081323818371,3.0,4.476892711361,10.825288969467,1.125153005997,4.0,6.02296935895,10.660235738304,1.046790715657,5.0,8.505293590393,9.505321609857,1.121109775031,6.0,4.610283707301,12.425896746973,0.812312723147,7.0,2.668059670833,13.536184962539,0.051906893318,8.0,5.058473663899,14.466216143886,0.818180121025,9.0,8.69294053848,13.387614110143,-0.910175168344,10.0,14.433238608564,7.264065623814,1.616535719625,11.0,10.445099219516,12.594040165574,1.032077553211,0.0,0.0,8.0,,,
9,0.0,1.210044057342,0.01922354963,0.00968497,0.003306317,2.0,0.004999921,0.225538475475,-1.0,-1.0,-1.0,0.300577988794,0.300577988794,4.0,0.0,0.300717967299,0.004400785,0.000585932,0.003088757,0.202301295637,0.202260038936,0.785181916691,0.165654052225,0.165636211372,0.402086937233,0.3810462652,0.64379397075,0.579500865632,0.877528789254,0.774212251128,1.096833013039,0.962039032975,1.315381599728,1.149258245743,1.538064274297,1.338444145235,1.762199360441,1.528982514837,1.98605516248,1.72110891906,2.209744938179,1.916530854608,2.433386192082,2.116150453629,2.656668250499,2.318280349916,2.879387961642,2.521121104608,3.102344499614,2.724720609488,3.326562474131,2.929665617012,3.551608287174,3.135367185088,3.776103153798,3.340479464038,3.99964463445,3.544607665931,4.222980894275,3.748474374106,4.44662544138,3.952584220103,0.0,5.056556862671,6.163255433979,1.347891237628,8.574065036593,13.523071804806,0.4,9.0,1.0,7.966753612244,2.415719444332,0.570313670974,2.0,5.865285764722,8.070794726713,1.083650490781,3.0,14.501495276082,11.724525973015,1.793904017322,4.0,4.491071626147,10.855147529932,1.127454605753,5.0,6.042183279703,10.693702466058,1.049623574071,6.0,8.523405960397,9.543076903643,1.123495322167,7.0,4.645594750188,12.463315520725,0.814370340086,8.0,2.707152566248,13.537894856826,0.043711398338,9.0,10.60159020582,15.359915993256,-0.49680762083,10.0,5.084892713729,14.494582418052,0.820926017287,11.0,8.715184119327,13.358352756087,-0.920818618511,0.0,0.0,9.0,,,
