run_idx,exp_id,file,trial_idx_in_file,safe,duration_s,runtime_mean_ms,runtime_var_ms2,completed_flag
63,62,exp1-62_2025_11_17-1254.txt,4,1,25.200,9.755087,15.920558733,1
64,62,exp1-62_2025_11_17-1254.txt,5,1,24.400,9.864712,14.764708297,1
65,67,exp1-67_2025_11_17-1259.txt,1,1,25.900,9.958448,16.786989050,1
66,67,exp1-67_2025_11_17-1259.txt,2,1,26.750,10.112959,18.056453891,1
67,67,exp1-67_2025_11_17-1259.txt,3,1,24.850,9.625103,15.179539375,1
68,67,exp1-67_2025_11_17-1259.txt,4,1,25.000,9.719747,15.712999401,1
69,67,exp1-67_2025_11_17-1259.txt,5,1,25.650,9.955580,18.437036539,1
70,72,exp1-72_2025_11_17-1304.txt,1,0,29.350,9.534966,18.467833710,1
71,72,exp1-72_2025_11_17-1304.txt,2,0,28.400,9.410296,17.199103448,1
72,72,exp1-72_2025_11_17-1304.txt,3,1,24.950,9.829940,14.723350982,1
73,72,exp1-72_2025_11_17-1304.txt,4,1,24.400,9.687014,16.389279798,1
74,72,exp1-72_2025_11_17-1304.txt,5,0,33.450,9.455819,17.981163934,1
75,77,exp1-77_2025_11_17-1311.txt,1,1,32.550,9.744766,23.087150387,1
76,77,exp1-77_2025_11_17-1311.txt,2,0,27.800,10.045664,18.915973151,1
77,77,exp1-77_2025_11_17-1311.txt,3,1,24.950,9.349823,16.297760921,1
78,77,exp1-77_2025_11_17-1311.txt,4,1,25.150,10.072109,18.298183101,1
79,77,exp1-77_2025_11_17-1311.txt,5,1,25.150,9.572106,14.675315100,1
80,82,exp1-82_2025_11_17-1316.txt,1,1,27.000,9.683883,19.125475828,1
81,82,exp1-82_2025_11_17-1316.txt,2,1,26.150,10.243607,19.334844518,1
82,82,exp1-82_2025_11_17-1316.txt,3,1,25.050,9.908043,16.549286973,1
83,82,exp1-82_2025_11_17-1316.txt,4,1,25.100,9.698554,14.511775604,1
84,82,exp1-82_2025_11_17-1316.txt,5,1,26.500,9.937091,15.677702738,1
85,87,exp1-87_2025_11_17-1320.txt,1,1,24.200,9.931358,18.310423928,1
86,87,exp1-87_2025_11_17-1320.txt,2,1,25.250,9.631904,15.408170364,1
87,87,exp1-87_2025_11_17-1320.txt,3,1,24.950,9.500963,14.338025780,1
88,87,exp1-87_2025_11_17-1320.txt,4,1,24.900,10.101102,17.750973208,1
89,87,exp1-87_2025_11_17-1320.txt,5,1,27.150,9.899975,16.298673077,1
90,92,exp1-92_2025_11_17-1326.txt,1,1,24.650,9.606013,16.547918860,1
91,92,exp1-92_2025_11_17-1326.txt,2,0,26.250,9.389356,15.092738515,1
92,92,exp1-92_2025_11_17-1326.txt,3,1,25.350,9.924599,16.341089701,1
93,92,exp1-92_2025_11_17-1326.txt,4,1,28.250,9.784394,15.783982076,1
94,92,exp1-92_2025_11_17-1326.txt,5,1,27.300,9.922119,16.230783688,1
95,97,exp1-97_2025_11_17-1336.txt,1,1,26.100,9.810603,16.632321370,1
96,97,exp1-97_2025_11_17-1336.txt,2,1,25.900,9.386416,16.526965850,1
97,97,exp1-97_2025_11_17-1336.txt,3,0,31.550,9.635011,19.857930353,1
98,97,exp1-97_2025_11_17-1336.txt,4,1,27.850,9.734666,16.081530183,1
99,97,exp1-97_2025_11_17-1336.txt,5,0,28.350,9.150757,16.018800711,1
